skill,city,sector,mention_count,week_over_week_change,month_over_month_change,direction,gov_training_seats,gov_courses,has_gov_course,snapshot_date
Shorthand,Guwahati,All,457,-25,-100,declining,0,[],f,2026-03-06 03:15:31.710414+00
DevOps/CI-CD,Nashik,All,457,16,66,rising,3065,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.493028+00
Cybersecurity,Chennai,All,457,28,96,rising,1196,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.412503+00
Dreamweaver,Jaipur,All,457,-6,-21,declining,0,[],f,2026-03-06 03:15:31.49102+00
AI Quality Review,Thiruvananthapuram,All,456,41,136,rising,0,[],f,2026-03-06 03:15:31.584471+00
Basic Excel,Mangaluru,All,456,-14,-51,declining,0,[],f,2026-03-06 03:15:31.66475+00
Network Cabling,Hyderabad,All,456,-3,-20,declining,0,[],f,2026-03-06 03:15:31.409092+00
Data Entry,Guwahati,All,456,-25,-80,declining,0,[],f,2026-03-06 03:15:31.70605+00
DevOps/CI-CD,Hubli,All,455,24,74,rising,460,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.670848+00
Copy Typing,Mangaluru,All,455,-24,-94,declining,0,[],f,2026-03-06 03:15:31.665778+00
Traditional SEO,Jabalpur,All,453,-14,-39,declining,0,[],f,2026-03-06 03:15:31.739652+00
AI-assisted Content Moderation,Ahmedabad,All,453,75,275,rising,0,[],f,2026-03-06 03:15:31.443001+00
Manual Testing,Visakhapatnam,All,453,-14,-59,declining,0,[],f,2026-03-06 03:15:31.579444+00
Shorthand,Nagpur,All,453,-25,-100,declining,0,[],f,2026-03-06 03:15:31.459897+00
Computer Vision,Mumbai,All,453,21,76,rising,0,[],f,2026-03-06 03:15:31.370398+00
Telemarketing,Nagpur,All,452,-30,-92,declining,0,[],f,2026-03-06 03:15:31.458488+00
Cloud Computing (AWS),Kolkata,All,452,29,92,rising,4677,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cloud Computing (AWS) Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.421036+00
LLM Fine-Tuning,Siliguri,All,452,27,105,rising,0,[],f,2026-03-06 03:15:31.744033+00
Computer Vision,Kochi,All,451,18,73,rising,0,[],f,2026-03-06 03:15:31.565095+00
Filing/Clerical,Agra,All,451,-16,-63,declining,0,[],f,2026-03-06 03:15:31.719642+00
Traditional SEO,Chennai,All,451,-7,-32,declining,0,[],f,2026-03-06 03:15:31.417554+00
Kubernetes/Docker,Visakhapatnam,All,450,21,69,rising,0,[],f,2026-03-06 03:15:31.577104+00
UI/UX Design,Nagpur,All,450,17,55,rising,3107,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.45433+00
Network Cabling,Madurai,All,450,-10,-27,declining,0,[],f,2026-03-06 03:15:31.614965+00
Traditional SEO,Delhi,All,450,-14,-39,declining,0,[],f,2026-03-06 03:15:31.387106+00
Python for Data,Coimbatore,All,449,29,102,rising,2869,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.471378+00
Product Management,Mangaluru,All,449,17,52,rising,0,[],f,2026-03-06 03:15:31.662938+00
Telemarketing,Indore,All,449,-25,-87,declining,0,[],f,2026-03-06 03:15:31.468923+00
AI-assisted Content Moderation,Raipur,All,448,75,275,rising,0,[],f,2026-03-06 03:15:31.692827+00
Cold Calling,Nagpur,All,448,-25,-75,declining,0,[],f,2026-03-06 03:15:31.457032+00
Legacy COBOL,Visakhapatnam,All,448,-13,-33,declining,0,[],f,2026-03-06 03:15:31.582587+00
Kubernetes/Docker,Dehradun,All,448,20,68,rising,0,[],f,2026-03-06 03:15:31.651425+00
Telemarketing,Bangalore,All,448,-21,-83,declining,0,[],f,2026-03-06 03:15:31.398063+00
UI/UX Design,Varanasi,All,448,19,57,rising,146,"[{""url"": ""https://nptel.ac.in"", ""name"": ""UI/UX Design Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.725503+00
Python for Data,Siliguri,All,448,25,98,rising,642,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.743243+00
LLM Fine-Tuning,Bhopal,All,447,32,110,rising,0,[],f,2026-03-06 03:15:31.512947+00
Telemarketing,Hubli,All,447,-24,-86,declining,0,[],f,2026-03-06 03:15:31.677582+00
Manual Testing,Surat,All,447,-17,-62,declining,0,[],f,2026-03-06 03:15:31.538052+00
Manual Testing,Kochi,All,446,-13,-58,declining,0,[],f,2026-03-06 03:15:31.569141+00
Data Entry,Mumbai,All,446,-18,-73,declining,0,[],f,2026-03-06 03:15:31.374439+00
Tally Accounting,Dehradun,All,446,-14,-44,declining,0,[],f,2026-03-06 03:15:31.654365+00
Manual Bookkeeping,Tiruchirappalli,All,445,-16,-56,declining,0,[],f,2026-03-06 03:15:31.686958+00
Voice Support,Jaipur,All,445,-32,-109,declining,0,[],f,2026-03-06 03:15:31.486303+00
Cybersecurity,Tiruchirappalli,All,445,26,94,rising,3452,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Cybersecurity Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.682043+00
PHP Development,Vadodara,All,444,-11,-46,declining,0,[],f,2026-03-06 03:15:31.528079+00
Tally Accounting,Rajkot,All,444,-16,-46,declining,0,[],f,2026-03-06 03:15:31.62248+00
Voice Support,Varanasi,All,444,-31,-108,declining,0,[],f,2026-03-06 03:15:31.726808+00
Legacy COBOL,Tiruchirappalli,All,444,-12,-32,declining,0,[],f,2026-03-06 03:15:31.688497+00
Natural Language Processing,Thiruvananthapuram,All,444,35,123,rising,0,[],f,2026-03-06 03:15:31.587092+00
Cold Calling,Delhi,All,444,-17,-67,declining,0,[],f,2026-03-06 03:15:31.386388+00
Tally Accounting,Raipur,All,444,-12,-42,declining,0,[],f,2026-03-06 03:15:31.696424+00
DevOps/CI-CD,Vadodara,All,444,16,66,rising,1902,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.523481+00
Hardware Troubleshooting,Nashik,All,444,-12,-34,declining,0,[],f,2026-03-06 03:15:31.50011+00
Copy Typing,Nashik,All,444,-33,-103,declining,0,[],f,2026-03-06 03:15:31.498141+00
Computer Vision,Kolkata,All,443,23,78,rising,0,[],f,2026-03-06 03:15:31.421761+00
Legacy COBOL,Madurai,All,442,-11,-31,declining,0,[],f,2026-03-06 03:15:31.614461+00
AI-assisted Content Moderation,Guwahati,All,442,80,280,rising,0,[],f,2026-03-06 03:15:31.703224+00
Tableau/Power BI,Jaipur,All,442,12,52,rising,4961,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Tableau/Power BI Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.484652+00
Print Media Design,Visakhapatnam,All,441,-11,-43,declining,0,[],f,2026-03-06 03:15:31.581462+00
PHP Development,Dehradun,All,441,-18,-53,declining,0,[],f,2026-03-06 03:15:31.654617+00
Filing/Clerical,Pune,All,441,-17,-64,declining,0,[],f,2026-03-06 03:15:31.438734+00
Manual Bookkeeping,Visakhapatnam,All,440,-20,-60,declining,0,[],f,2026-03-06 03:15:31.580958+00
Python for Data,Jaipur,All,439,34,107,rising,4797,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Python for Data Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.481591+00
Product Management,Bhopal,All,439,11,46,rising,0,[],f,2026-03-06 03:15:31.51568+00
Blockchain,Agra,All,438,7,32,rising,0,[],f,2026-03-06 03:15:31.716054+00
Voice Support,Pune,All,438,-29,-106,declining,0,[],f,2026-03-06 03:15:31.435537+00
Basic Excel,Chandigarh,All,438,-10,-47,declining,0,[],f,2026-03-06 03:15:31.559197+00
Product Management,Guwahati,All,438,19,54,rising,0,[],f,2026-03-06 03:15:31.704749+00
Network Cabling,Thiruvananthapuram,All,437,-2,-19,declining,0,[],f,2026-03-06 03:15:31.593921+00
Dreamweaver,Rajkot,All,437,-2,-17,declining,0,[],f,2026-03-06 03:15:31.626348+00
Tally Accounting,Ahmedabad,All,437,-17,-47,declining,0,[],f,2026-03-06 03:15:31.446461+00
PHP Development,Hubli,All,437,-14,-49,declining,0,[],f,2026-03-06 03:15:31.675772+00
React/Next.js,Vadodara,All,437,19,64,rising,1070,"[{""url"": ""https://nptel.ac.in"", ""name"": ""React/Next.js Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.523725+00
Traditional SEO,Mangaluru,All,436,-15,-40,declining,0,[],f,2026-03-06 03:15:31.666316+00
PHP Development,Mumbai,All,436,-12,-47,declining,0,[],f,2026-03-06 03:15:31.375449+00
Product Management,Bangalore,All,436,10,45,rising,0,[],f,2026-03-06 03:15:31.394031+00
Dreamweaver,Pune,All,435,-5,-20,declining,0,[],f,2026-03-06 03:15:31.440166+00
Telemarketing,Varanasi,All,435,-28,-90,declining,0,[],f,2026-03-06 03:15:31.729878+00
Basic Excel,Ranchi,All,435,-12,-49,declining,0,[],f,2026-03-06 03:15:31.643559+00
DevOps/CI-CD,Chandigarh,All,435,21,71,rising,372,"[{""url"": ""https://nptel.ac.in"", ""name"": ""DevOps/CI-CD Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.554989+00
Agile/Scrum,Jodhpur,All,434,16,46,rising,1730,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Agile/Scrum Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.631048+00
Machine Learning,Ahmedabad,All,434,32,117,rising,1752,"[{""url"": ""https://nptel.ac.in"", ""name"": ""Machine Learning Basics"", ""provider"": ""NPTEL""}]",t,2026-03-06 03:15:31.441403+00
